Neighborhood,Address Latitude,Address Longitude,Borough,City
"7, Hiddenseer Straße, Kollwitzkiez, Prenzlauer Berg, Pankow, Berlin, 10437, Deutschland",52.5427799,13.4237244,Pankow,Berlin
"Müllerhalle, Lüderitzstraße, Afrikanisches Viertel, Wedding, Mitte, Berlin, 13351, Deutschland",52.5530054,13.34605404880025,Mitte,Berlin
"Kaiser Wilhelm-und Augusta-Stiftung, 57, Reinickendorfer Straße, Leopoldkiez, Gesundbrunnen, Mitte, Berlin, 13347, Deutschland",52.5534395,13.367816373329894,Mitte,Berlin
"7, Bornholmer Straße, Arnimkiez, Prenzlauer Berg, Pankow, Berlin, 10439, Deutschland",52.5541844,13.412269,Pankow,Berlin
"Brudermühlstraße, Bezirksteil Sendlinger Feld, Sendling, München, Bayern, 81371, Deutschland",48.11259310172631,11.540597265808005,Bezirksteil Sendlinger Feld,munich
"Brudermühlbrücke, Brudermühlstraße, Bezirksteil Sendlinger Feld, Sendling, München, Bayern, 81379, Deutschland",48.1126172,11.560150943491108,Bezirksteil Sendlinger Feld,munich
"Kreisverwaltungsreferat, 19, Ruppertstraße, Am Schlachthof, Bezirksteil Am Schlachthof, Ludwigsvorstadt-Isarvorstadt, München, Bayern, 80337, Deutschland",48.12434935,11.550165205178768,Bezirksteil Am Schlachthof,munich
"Mittelschule Wittelsbacherstraße, 10, Wittelsbacherstraße, Bezirksteil Glockenbach, Ludwigsvorstadt-Isarvorstadt, München, Bayern, 80469, Deutschland",48.12504685,11.570254605238464,Bezirksteil Glockenbach,munich
"28, Franziskanerstraße, Bezirksteil Obere Au, Au-Haidhausen, München, Bayern, 81669, Deutschland",48.125775,11.5900335,Bezirksteil Obere Au,munich
"Alpha, August-Everding-Straße, Bezirksteil Echarding, Berg am Laim, München, Bayern, 81671, Deutschland",48.12664,11.610809755051589,Bezirksteil Echarding,munich
"Zschokkestraße, Neu-Friedenheim, Bezirksteil Friedenheim, Laim, München, Bayern, 80686, Deutschland",48.1349558619707,11.518893194345255,Bezirksteil Friedenheim,munich
"Golling Hairstyling, Gollierstraße, Bezirksteil Westend, Schwanthalerhöhe, München, Bayern, 80339, Deutschland",48.1358604,11.5390296,Bezirksteil Westend,munich
"40, Landwehrstraße, Bezirksteil Ludwigsvorstadt-Kliniken, Ludwigsvorstadt-Isarvorstadt, München, Bayern, 80336, Deutschland",48.13649085,11.559117781663588,Bezirksteil Ludwigsvorstadt-Kliniken,munich
"2, Orlandostraße, Bezirksteil Graggenau, Altstadt-Lehel, München, Bayern, 80331, Deutschland",48.1372002,11.5792665,Bezirksteil Graggenau,munich
"510, Zufahrt Liegendkranke, Bezirksteil Steinhausen, Au-Haidhausen, München, Bayern, 81675, Deutschland",48.13769405,11.599345421021221,Bezirksteil Steinhausen,munich
"155, Prinzregentenstraße, Parkstadt Bogenhausen, Bezirksteil Parkstadt, Bogenhausen, München, Bayern, 81677, Deutschland",48.13829920000001,11.6193003,Bezirksteil Parkstadt,munich
"Grundschule an der Blutenburgstraße, Adamstraße, Bezirksteil Marsfeld, Maxvorstadt, München, Bayern, 80636, Deutschland",48.1477886,11.547987240960536,Bezirksteil Marsfeld,munich
"0, 21, Arcisstraße, Bezirksteil Königsplatz, Maxvorstadt, München, Bayern, 80333, Deutschland",48.14873035,11.568510240272179,Bezirksteil Königsplatz,munich
"Burgfriedensäule, Burgfriedenweg, Bezirksteil Englischer Garten Süd, Altstadt-Lehel, München, Bayern, 80538, Deutschland",48.149442,11.5890865,Bezirksteil Englischer Garten Süd,munich
"18, Scheinerstraße, Altbogenhausen, Bezirksteil Altbogenhausen, Bogenhausen, München, Bayern, 81679, Deutschland",48.1497242,11.608753,Bezirksteil Altbogenhausen,munich
"17, Kathi-Kobus-Straße, Ackermannbogen, Bezirksteil Schwere-Reiter-Straße, Schwabing-West, München, Bayern, 80797, Deutschland",48.1598771,11.5575477,Bezirksteil Schwere-Reiter-Straße,munich
"18, Römerstraße, Bezirksteil Neuschwabing, Schwabing-West, München, Bayern, 80801, Deutschland",48.1605125,11.5775862,Bezirksteil Neuschwabing,munich
"Bootsverleih, Kleinhesselohe, Bezirksteil Kleinhesselohe, Schwabing-Freimann, München, Bayern, 80802, Deutschland",48.16122,11.5979562,Bezirksteil Kleinhesselohe,munich
"1, Burgunderstraße, Bezirksteil Am Luitpoldpark, Schwabing-West, München, Bayern, 80804, Deutschland",48.17183865,11.566810106246312,Bezirksteil Am Luitpoldpark,munich
"174, Leopoldstraße, Bezirksteil Münchener Freiheit, Schwabing-Freimann, München, Bayern, 80804, Deutschland",48.1722903,11.586903,Bezirksteil Münchener Freiheit,munich
